Box #,Assay#,Depth,K (%),U (ppm),Th (ppm),DR,Total GR,Assay#,K (%),U (ppm),Th (ppm),DR,Total GR,Assay#,K (%),U (ppm),Th (ppm),DR,Total GR,Assay#,K (%),U (ppm),Th (ppm),DR,Total GR,Average GR,Std,CPS,Comments
61,10712,180.1,0.7,0.7,1.8,2,24,10713,0.6,1.1,1,1.9,22.4,10714,0.6,1.4,1.4,2.2,26.4,10715,0.7,1.3,0.6,2,24,24.2,1.649,63,
61,10717,180.4,0.5,1.8,0.9,2.2,26,10718,0.5,1.6,0.8,2,24,10719,0.5,1.6,1.8,2.4,28,10720,0.6,1.1,1.2,2,23.2,25.3,2.151,67,
61,10721,180.7,0.6,1.6,0.9,2.1,26,10722,0.7,1.4,1.4,2.2,28,10723,0.7,1.3,0.4,2.1,23.2,10724,0.7,1.2,1.8,2.3,28,26.3,2.272,71,
61,10725,181,0.7,1.4,1,2.2,26.4,10726,0.7,1.3,1.3,2.2,26.8,10727,0.7,1.5,0.8,2.1,26.4,10728,0.7,1.3,1.5,2.3,27.6,26.8,0.566,72,
61,10729,181.3,0.6,1.7,1.2,2.2,28,10730,0.7,1.5,1.5,2.4,29.2,10731,0.7,1.5,1.1,2.3,27.6,10732,0.5,2.2,1.3,2.5,30.8,28.9,1.438,74,
61,10733,181.6,0.6,1.5,0.8,2.1,24.8,10734,0.7,1.8,0.8,2.3,28.8,10735,0.7,1.9,1.1,2.6,30.8,10736,0.6,1.7,1.2,2.3,28,28.1,2.495,72,
61,10737,181.9,0.6,1.3,1.6,2.2,26.4,10738,0.6,1.6,0.8,2.2,25.6,10739,0.5,1.8,1.2,2.3,27.2,10740,0.6,1.5,1.8,2.3,28.8,27,1.366,70,
61,10741,182.2,0.6,1.5,1.4,2.3,27.2,10742,0.6,1.4,1,2.1,24.8,10743,0.6,1.2,1,2,23.2,10744,0.6,1.5,1.2,2.2,26.4,25.4,1.774,74,
61,10745,182.5,0.6,2,1.3,2.5,30.8,10746,0.6,1.5,1.5,2.3,27.6,10747,0.6,1.5,1.5,2.3,27.6,10748,0.7,1.1,1.2,2,24.8,27.7,2.452,71,
61,10749,182.8,0.6,1.3,0.8,1.9,23.2,10750,0.5,1.3,2.2,2.2,27.2,10751,0.5,1.4,1.2,2,24,10752,0.6,1.2,1.2,2,24,24.6,1.774,73,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,10794,183.1,0.6,1.2,1.5,2.1,25.2,10795,0.5,1.2,1.4,2,23.2,10796,0.5,0.9,1.1,1.7,19.6,10797,0.5,0.8,1.7,1.8,21.2,22.3,2.43,65,
62,10798,183.4,0.5,1.2,1.7,2.1,24.4,10799,0.6,1.2,1.3,2,24.4,10800,0.5,1.1,1.1,1.8,21.2,10801,0.6,1,1.2,1.9,22.4,23.1,1.579,63,
62,10802,183.7,0.6,1,1.6,2,24,10803,0.7,1.3,1.1,2.1,26,10804,0.6,1.3,0.8,1.9,23.2,10805,0.7,1,1.1,2,23.6,24.2,1.244,65,
62,10806,184,0.5,1.6,1.7,2.2,27.6,10807,0.5,1.2,1.5,2,23.6,10808,0.6,0.8,1.1,1.7,20.4,10809,0.4,1.4,1.2,1.9,22.4,23.5,3.035,67,
62,10810,184.3,0.6,1,1.5,1.9,23.6,10811,0.5,1.3,0.8,1.8,21.6,10812,0.5,1.6,0.2,1.8,21.6,10813,0.6,1.3,1,2,24,22.7,1.281,63,
62,10814,184.6,0.6,1.5,0.7,2,24.4,10815,0.5,1.2,0.6,1.6,20,10816,0.5,1.3,1.4,1.9,24,10817,0.5,0.9,1.1,1.7,19.6,22,2.551,64,
62,10818,184.9,0.6,1.5,1.6,2.3,28,10819,0.5,1.7,0.6,2,24,10820,0.5,2,0.4,2.1,25.6,10821,0.6,1.4,1.6,2.3,27.2,26.2,1.774,67,
62,10822,185.2,0.6,1.1,0.8,1.9,21.6,10823,0.5,0.8,1.1,1.6,18.8,10824,0.7,0.6,1,1.7,20,10825,0.6,0.9,1.4,1.9,22.4,20.7,1.612,60,
62,10826,185.5,0.5,0.9,1.3,1.7,20.4,10827,0.5,1.1,0.8,1.7,20,10828,0.5,1.4,1,1.9,23.2,10829,0.5,1.4,1.2,1.9,24,21.9,1.997,60,
62,10830,185.8,0.6,1.2,0.8,1.9,22.4,10831,0.6,1.6,1,2.1,26.4,10832,0.5,1.5,1.4,2.1,25.6,10833,0.6,0.9,1.4,1.9,22.4,24.2,2.104,63,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,10753,186.1,0.6,1.4,0.5,1.9,22.8,10754,0.7,1.2,1.7,2.3,27.6,10755,0.7,1.3,2.2,2.5,30.4,10756,0.7,1.9,1.1,2.5,30.8,27.9,3.686,76,
63,10757,186.4,0.6,0.9,2.7,2.3,27.6,10758,0.8,1.1,1.6,2.3,28,10759,0.6,1.2,2.3,2.3,28.4,10760,0.6,1.8,1.5,2.5,30,28.5,1.052,73,
63,10761,186.7,0.8,1.4,1.6,2.5,30.4,10763,0.9,1.5,2.5,3,36.4,10764,0.8,1.2,1.3,2.3,27.6,10765,0.8,1.1,2.3,2.5,30.8,31.3,3.686,68,
63,10766,187,0.8,1.2,1.4,2.3,28,10767,0.6,0.9,1.9,2.1,24.4,10768,0.7,1.2,0.7,2.1,23.6,10769,0.8,1.2,1.6,2.4,28.8,26.2,2.582,70,
63,10770,187.3,0.6,1,1.9,2.2,25.2,10771,0.8,1.9,1,2.7,32,10772,0.8,1.1,1.6,2.3,28,10773,0.7,1.1,1.8,2.3,27.2,28.1,2.854,68,
